PID1,PID2,B1,B2,PB,D1,D2,PD,PRODUCT,AVERAGE,DUPLICATE,
LD9X-1DL,LD9W-7SQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNQ-DNC,9JN9-57J,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR91-C6W,MYG7-GHQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ68-3TF,MPGB-ZPJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27GT-17P,KNVL-7GY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27J1-N57,KNP8-HJX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L6DX-9Z9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBY-NDW,K8CY-C9B,+1836-09-23,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDG-81L,M5DY-PPJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,K83T-GGC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRF8-JY3,97SZ-Q98,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJM2-33W,MJMR-9J5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27H5-J6V,LT6J-P83,A+1816,+1827,0.0,+1898,+1898,1.0,0.0,0.5,Y,
KZBM-81F,K87M-DYJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT6-LVM,99ZS-WQQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6F-T3V,KH6Q-XJ6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPX6-HX4,M21K-W8Y,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
989Z-K2B,L447-7JJ,missing,+1867-07,0.5,missing,+1920,0.5,0.25,0.5,N,
MPWP-9XH,M22V-8SY,missing,+1846-09-12,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-CS5,21T7-BQ2,+1853,+1853,1.0,missing,+1939,0.5,0.5,0.75,N,
MJLP-X33,M15G-1W4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98GH-ZMN,98GH-DBQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LDB6-SZK,LDBD-BXY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75X-LYT,L7KR-NDJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTW-WR2,LJTR-V2K,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJL1-TS6,MNRV-9WY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75N-GZD,L75J-RDQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ76-FHJ,MJ7X-1X5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNQ-DNC,KZ61-B15,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GR-8B6,27PW-QMS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8L-QKB,MT69-JTR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPW8-G9S,MPWW-KYW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB1-C1W,LY5X-7R4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKL-9T6,L7N4-NJJ,missing,+1781,0.5,missing,+1827-05-10,0.5,0.25,0.5,Y,
9JNG-H9T,9JNF-J3P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDG-81L,9H3W-Z5Y,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27J1-N57,KN2R-DL7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L8TD-CXY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPW7-S9H,LRQS-437,missing,+1754-11,0.5,missing,missing,0.5,0.25,0.5,N,
27H5-J6V,MDR2-DPF,A+1816,missing,0.5,+1898,missing,0.5,0.25,0.5,N,
MJLP-X33,M15G-14M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98GH-ZMN,96S3-BSN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
M9QG-NH8,M4VX-66L,+1739-10-09,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75X-LYT,L7KW-SLQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75N-GZD,L75V-7NL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTW-WR2,LJTW-W1G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJL1-TS6,MNRF-P35,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ76-FHJ,MJ76-LTS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJM2-33W,K8X2-D1T,missing,A+1715,0.5,missing,missing,0.5,0.25,0.5,Y,
LD9X-1DL,LD9W-9RY,missing,missing,0.5,missing,+1787-05-23,0.5,0.25,0.5,Y,
LDB6-SZK,LDBD-5SC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-81F,KZ1C-VWH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27JB-15C,MYHG-3G8,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTB-QHC,L5JM-SD2,missing,missing,0.5,missing,+1879-08-18,0.5,0.25,0.5,N,
27GR-8B6,LQTJ-3LP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNG-H9T,982M-793,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB1-C1W,K4D1-TR5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTF-C3X,MQKL-NZD,+1765,missing,0.5,+1787-07-20,missing,0.5,0.25,0.5,Y,
L6DZ-XYN,L6DX-7B1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPWP-9XH,M22V-89V,missing,+1844-09-07,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6B-8SV,M3YR-YHM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GT-181,KJL4-F17,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDL-FP8,L42T-RG3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8L-QKB,MTDM-SR3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LDB6-SZK,LDBX-FN9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GR-8B6,27PQ-ZBH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,9CVR-J8B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-8NN,KNTW-8TN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-D3T,MJ6D-HCK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNG-H9T,KH2Z-S3L,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GH-ZMN,KHR2-NP5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L75X-LYT,L75X-KC2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJM2-33W,MJMP-7CK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6G-GSB,9QM3-ZBP,missing,+1825-08-15,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ76-FHJ,MJ7F-MCZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-81F,MBSW-ZS5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTW-WR2,LJTQ-JKC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJL1-TS6,MRQW-Q8S,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJKL-JHY,ML4Z-VWX,A+1816,A+1816,1.0,missing,missing,0.5,0.5,0.75,N,
MPWP-9XH,M22J-22G,missing,+1834-06-18,0.5,missing,missing,0.5,0.25,0.5,N,
27J2-ZSH,MXF4-TS5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27GT-181,KK37-6RT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWC-PMS,J3LD-9G4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDL-FP8,MRCR-61K,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB1-C1W,9SXG-NGS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-QNN,9JFY-MXF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8L-QKB,KZK1-LSX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT6-M7M,MHCB-KTJ,A+1770,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9R-JNG,27S7-WR9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJLQ-2RW,M6NQ-342,missing,A+1639,0.5,missing,missing,0.5,0.25,0.5,Y,
MR91-C78,K872-J62,missing,A+1624,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,KVB7-51C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,M3BP-5ZC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GR-8B6,L7SQ-SHQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJTC-4SJ,LJT4-QJN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-D3T,9JT4-LCS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6F1-VXZ,L6NM-6QM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27JB-ZHM,KG2Z-JDX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LJTG-P3J,LJT2-VFT,+1797-11-27,+1797-11-27,1.0,missing,missing,0.5,0.5,0.75,Y,
MPWC-PMS,9SDR-RYH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJM2-33W,MHD5-N5J,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GT-181,27LY-JC1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ76-FHJ,MJ7F-FGX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNG-H9T,9JNX-F8G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKL-JHY,KZKL-W9G,A+1816,A+1816,1.0,missing,missing,0.5,0.5,0.75,N,
KZBM-81F,9NWB-LCG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTW-WR2,LJTQ-J28,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR8L-QKB,MLVQ-L33,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT6-M7M,M2VJ-F9B,A+1770,A+1770,1.0,missing,missing,0.5,0.5,0.75,Y,
9JNR-8NN,9JNT-QNP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWP-9XH,MPWP-6J5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDL-FP8,MRDK-KZZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L76B-DYS,L4RT-FRL,+1899-06-10,+1899-06-10,1.0,missing,missing,0.5,0.5,0.75,Y,
MJ6B-8T7,KZGD-LQ5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR91-C78,KZQV-R1D,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTC-4SJ,LJBD-MPT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,KLH3-M7G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9R-JNG,LZRR-WDK,missing,+1855-08,0.5,missing,missing,0.5,0.25,0.5,N,
MPX8-J91,MLR9-TNG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6F1-VXZ,LX1J-W4F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6FJ-5NX,9QYR-S8M,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJM2-33W,MSCC-5PR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27J3-5TM,27JM-VGB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Y-YYF,L751-YT7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6X-D3T,MW38-Q49,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L75V-2ZQ,L7RV-QCW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JNG-H9T,MGXX-R4P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27JB-ZHM,LJJP-ZCZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98BG-WRR,LZ37-PY3,+1796-04-15,missing,0.5,+1862-06-02,missing,0.5,0.25,0.5,N,
KCT1-FBD,K8PB-KMG,missing,A+1833,0.5,missing,missing,0.5,0.25,0.5,N,
KCT6-M7M,MSTX-KHH,A+1770,A+1770,1.0,missing,missing,0.5,0.5,0.75,Y,
MR91-C78,MH3C-VZM,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNR-8NN,MXLM-6WR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6B-8T7,M6KB-TML,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB1-C28,K6FY-W26,A+1690,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27GT-181,LWGD-9B4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,KXZJ-KTD,missing,+1821,0.5,missing,missing,0.5,0.25,0.5,N,
LJTC-4SJ,LJT8-J33,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZBM-81F,MHQN-95F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GL-L9D,KGQW-LPB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,KJGV-P7P,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR8L-QKB,KZGH-ZVT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L75M-2Q1,L2V4-9L1,+1913-04-07,+1914,1.0,+1995-02-07,missing,0.5,0.5,0.75,Y,
LDB1-MFB,LD1H-PG1,+1878-07-12,+1878-07-12,1.0,+1950-12-09,+1950-12-09,1.0,1.0,1.0,Y,
L6F1-VXZ,LX1J-WRT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GT-181,9K22-8GR,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTN-FRL,LJTN-NM4,missing,missing,0.5,+2012-10,+2012-10,1.0,0.5,0.75,Y,
MJ79-CRT,L42D-PB8,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L75V-2ZQ,L75K-DTP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MPWD-49Z,MYK4-ZGC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB1-C28,K6NQ-56K,A+1690,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JN9-YXP,KJGV-PS1,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,M4DV-ZZB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6X-D3T,9JPM-5C2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDL-FP8,L5JH-DXM,missing,+1804,0.5,missing,+1885-04-15,0.5,0.25,0.5,N,
LDB7-PF9,9H9C-VBT,+1874,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98GL-L9D,MH3N-7L4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27J3-5TM,L4NC-16N,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRFC-D9N,LR6J-6CC,missing,+1840-12-19,0.5,missing,missing,0.5,0.25,0.5,Y,
L76C-ZDG,KLS8-MFD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJLB-Q3H,LHT3-NCC,missing,A+1759,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB7-MZP,KCX7-PYS,missing,+1824,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6C-F4H,K83R-3C2,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Z-4ZK,LHPB-4R6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27JC-5J3,9H43-DH5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,9JNS-H4N,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6F1-VXZ,LCBQ-6JH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
987Y-7T7,987W-L1T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDL-FP8,LC2C-2R1,missing,+1801-04-30,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6X-D3T,MJ66-2HH,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6FM-TCK,L6X1-5N4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75F-TP5,L58G-6FB,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27J3-5TM,27JS-VQZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-FBD,M2PQ-8BW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KCT7-8M7,LLC2-7RN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LDB7-PF9,KG2F-XKP,+1874,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ79-CRT,MJ79-C5V,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ6M-1SR,M3X1-SZW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNG-XMX,9JNL-4P8,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Q-51J,LH59-B4J,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWG-9NG,M226-LRQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75V-CP6,L75J-8ZJ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6FM-TCK,L6F9-LRD,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L767-TDY,LFWZ-L7C,+1761-09-26,+1761-09-26,1.0,missing,missing,0.5,0.5,0.75,Y,
27JC-5J3,M9J8-HNT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
987Y-7T7,987H-MNK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27J3-5TM,LW3D-3LF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR9Y-9DG,MY3Q-P92,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
9JN9-YXP,KJ2Y-682,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTQ-TQZ,LJTC-HDY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ79-CRT,MJ79-TH9,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LDB7-PF9,LCPG-BC1,+1874,A+1874,1.0,missing,A+1935,0.5,0.5,0.75,N,
LD9X-9NN,LD9J-9R7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GL-TCF,9H45-YPF,missing,A+1869,0.5,missing,missing,0.5,0.25,0.5,Y,
9JNG-XMX,9NDG-PNP,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKM-G4G,27PL-7NS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWS-7CR,MPZ6-88F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJLC-DRS,9ZW7-XLW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-XYN,9M9V-T52,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTC-4SJ,LJTC-HFL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
KZB9-G1K,M5G8-B3S,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Q-51J,L492-T7R,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MR91-C78,M13G-FLS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27JC-5J3,K22N-PPS,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTQ-TQZ,LKZ7-F1T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27HV-56J,MXVD-BH6,+1769-01-08,missing,0.5,+1849-04-07,missing,0.5,0.25,0.5,N,
LD9X-9NN,LD9S-P6L,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Z-MYQ,L75J-S2G,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6FM-TCK,L8YP-YXX,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KLX4-QDC,9XPR-7MK,+1853-11-01,missing,0.5,+1911-03-03,missing,0.5,0.25,0.5,Y,
MJLC-DRS,9ZW7-61T,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWS-7CR,MPZF-VPC,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75G-PZB,LCHY-J7B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6M-1T3,MJ5H-N89,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MJ79-CRT,MJ79-F4B,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRFD-YCB,MRF4-6J3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9JN9-YXP,9JN9-GT4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MRDL-NYY,99HZ-RK7,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZBM-XYN,9SL3-6CN,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ6D-9SS,MJY5-74X,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
98CQ-G2Y,K6C3-S2R,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6F5-XY5,L843-3GX,+1840,+1840,1.0,missing,missing,0.5,0.5,0.75,Y,
KCT8-4WD,KWJN-NKF,+1887-12-01,+1887-12-01,1.0,+1965-01-08,+1965-08-01,0.0,0.0,0.5,Y,
MJLQ-2S8,KZR6-LP5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KCT1-NLF,K6SD-F5P,missing,A+1780,0.5,missing,missing,0.5,0.25,0.5,Y,
LDB8-DFD,LDB8-D6K,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
KZB3-CQ5,9NSM-HNL,+1749,+1739-05-27,0.0,missing,+1795-04-28,0.5,0.0,0.25,N,
LJTQ-TQZ,LKWR-FBL,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LD9X-9NN,LD9X-MD5,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKR-V3R,MV6L-TW8,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75Z-MYQ,L75J-4KK,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75V-D16,L8JY-ZQW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L6FM-TCK,L6FM-2X3,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L75G-PZB,LCHK-KTQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27JC-5J3,9KVR-HNY,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJ79-CRT,MJ7S-WVG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MRDL-NYY,MDZJ-72F,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
9891-SGX,L7NN-95Q,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
27GV-27M,27XM-W9C,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27J3-NT4,M2TW-WNF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWH-FMX,MDHZ-18Q,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MPWS-7CR,MPHF-WBQ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
98GR-FN9,KFLK-FC2,A+1891,A+1891,1.0,missing,missing,0.5,0.5,0.75,Y,
KCT1-NLF,LYHY-MH6,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
LD9X-9NN,LD9S-PKF,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
LJTQ-TQZ,LKWR-MXW,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L76D-NDR,L76C-CGT,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
MR9V-3NZ,LZ3W-JTZ,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
L6FM-TCK,L6FM-TNV,missing,missing,0.5,missing,missing,0.5,0.25,0.5,Y,
MJKR-V3R,KH21-BD4,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
L75G-PZB,LCGP-RTG,missing,missing,0.5,missing,missing,0.5,0.25,0.5,N,
27JC-5J3,K6H2-71Q,missing,A+1808,0.5,missing,missing,0.5,0.25,0.5,N,
